NAME,INVESTOR TYPE,PREFERED STARTUP STAGES,FOCUS INDUSTRIES,FOCUS SECTOR,SERVICE AREAS,INVESTMENT RANGE,LOCATION
DOMINOR INVESTMENT HOLDINGS LLP,Private Company,EarlyTraction,"AI, Education, Fashion, Food & Beverages, Healthcare & Lifesciences, Internet of Things, Sports, Textiles & Apparel","Machine Learning, NLP, Others, Skill Development, Fashion Technology, Lifestyle, Apparel, Restaurants, Microbrewery, Food Processing, Others, Health & Wellness, Biotechnology, Healthcare Services, Healthcare IT, Healthcare Technology, Smart Home, Manufacturing & Warehouse, Wearables, Others, Others, Non- Leather Textiles Goods, Apparel & Accessories","Consumer Internet, Enterprise Mobility, Manufacturing, SaaS",50 Lacs - 2 Crore INR,"Delhi, Delhi"
RANDEV VENTURES FAMILY OFFICE,,"Validation, EarlyTraction, Scaling","Analytics, Advertising, AR VR (Augmented + Virtual Reality), Automotive, Animation, Computer Vision, Telecommunication & Networking, AI, Finance Technology, Enterprise Software, Design, Technology Hardware, Healthcare & Lifesciences, Internet of Things, IT Services, Media & Entertainment, Retail, Professional & Commercial Services, Transportation & Storage, Travel & Tourism, Security Solutions, Other Specialty Retailers","Big Data, Business Intelligence, Data Science, Others, AdTech, Online Classified, Others, Others, Auto & Truck Manufacturers, Auto, Truck & Motorcycle Parts, Electric Vehicles, Others, Tires & Rubber Products, Others, Others, Integrated communication services, Network Technology Solutions, Others, Wireless, Machine Learning, NLP, Others, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, CXM, Cloud, Collaboration, Customer Support, ERP, Enterprise Mobility, Location Based, Others, SCM, Industrial Design, Others, Web Design, 3d printing, Electronics, Embedded, Manufacturing, Others, Semiconductor, Assistance Technology, Biotechnology, Health & Wellness, Healthcare IT, Healthcare Services, Healthcare Technology, Medical Devices Biomedical, Others, Pharmaceutical, Manufacturing & Warehouse, Others, Smart Home, Wearables, Application Development, BPO, IT Consulting, IT Management, KPO, Others, Product Development, Project Management, Testing, Web Development, Digital Media, Digital Media Blogging, Digital Media News, Digital Media Publishing, Digital Media Video, Entertainment, Movies, OOH Media, Others, Social Media, Comparison Shopping, Others, Retail Technology, Social Commerce, Business Support Services, Business Support Supplies, Commercial Printing Services, Employment Services, Environmental Services & Equipment, Others, Professional Information Services, Freight & Logistics Services, Others, Passenger Transportation Services, Traffic Management, Transport Infrastructure, Experiential Travel, Facility Management, Holiday Rentals, Hospitality, Hotel, Others, Ticketing, Wayside Amenities, Cyber Security, Home Security solutions, Others, Public Citizen Security Solutions, Auto Vehicles, Parts & Service Retailers, Computer & Electronics Retailers, Home Furnishings Retailers, Home Improvement Products & Services Retailers, Other","Consulting, Consumer Internet, Discovery, Engineering, Enterprise Mobility, Governments, Hyperlocal, Location Based Services, Marketplace, Mobile, Platform, Research, SaaS, Sharing Economy",50 Lacs - 2 Crore INR,"Mumbai, Maharashtra"
SEQUOIA CAPITAL INDIA,Venture Capital,Seed to Growth,"Technology, Consumer, Healthcare","Fintech, SaaS, Consumer Internet",Early to growth-stage tech-enabled companies,$100K – $100M,"Bengaluru, Mumbai, Delhi"
KALAARI CAPITAL,Venture Capital,Early Stage,Technology,"E-commerce, Internet, Cleantech",echnology-oriented companies capturing new markets,$1M – $5M,Bengaluru
Nexus Venture Partners,Venture Capital,Early to Growth,"Technology, Consumer","SaaS, Fintech, Consumer Internet",Early to growth-stage companies in India and the US,$0.5M – $10M,"Mumbai, Bengaluru"
BLUME VENTUREA,Venture Capital,Seed to Pre-Series,"Technology, Consumer","Edtech, Fintech, Healthtech, SaaS",Early-stage startups with innovative solutions,$500K – $3M,"Mumbai, Bengaluru"
CHIRATAE VENTURES,Venture Capital,Early to Growth,Technology,"Consumer Tech, SaaS, Healthtech",Growth-stage startups in the Indian market,$1M – $10M,"Bengaluru, Mumbai, Delhi"
ARTHA VENTURE FUND,Micro VC,Early Stage,"Consumer, Technology","D2C, SaaS, EV Infrastructure, Agritech","Lean capital investments in scalable, high-potential sectors",$250K – $1M,Mumbai
INDIAN ANGEL NETWORK,Angel Group,Early Stage,Sector Agnostic,"Technology, Healthcare, Education",Early-stage startups across various sectors,$100K – $1M,New Delhi
EVERSTONE CAPITAL ASIA,Private Equity,Growth to Late Stage,Financial Services,"Consumer, Healthcare, Technology",Growth-stage investments in India and Southeast Asia,$10M – $100M,"Mumbai, Singapore"
